"report_id";"check_date";"check_result";"report_comment";"report_content";"report_date";"report_title";"reported_email";"reporter_email"
1;"2021-12-20 17:48:02.933000";"";"";"/board/65";"2021-12-20 17:48:03";"허위사실";"youngboy@123456.com";"different@love.com"
2;"2021-12-20 18:04:41.895000";"";"";"/board/65";"2021-12-20 18:04:42";"";"youngboy@123456.com";"different@love.com"
3;"2021-12-20 18:07:09.807000";"";"b155";"/board/65";"2021-12-20 18:07:10";"여행 게시판 댓글 신고";"different@love.com";"different@love.com"
4;"2021-12-20 18:20:07.316000";"장난 신고";"b105";"/board/51";"2021-12-20 18:12:53";"여행 게시판 댓글 신고";"admin";"different@love.com"
5;"2021-12-20 18:18:12.501000";"";"b155";"/board/65";"2021-12-20 18:18:13";"여행 게시판 댓글 신고";"different@love.com";"admin"
6;"2021-12-20 18:24:05.257000";"장난 신고";"";"/board/65";"2021-12-20 18:22:53";"지진";"youngboy@123456.com";"hello@hello.com"
7;"2021-12-21 09:43:10.831000";"";"";"/review/57";"2021-12-21 09:43:11";"도배";"spacekay@kakao.com";"admin"
8;"2021-12-21 09:55:31.648000";"테스트 신고";"";"/review/57";"2021-12-21 09:45:45";"테스트";"spacekay@kakao.com";"admin"
9;"2021-12-21 09:55:31.650000";"테스트 신고";"";"/review/57";"2021-12-21 09:47:36";"테스트";"spacekay@kakao.com";"admin"
10;"2021-12-21 09:55:31.651000";"테스트 신고";"";"/review/57";"2021-12-21 09:48:12";"테스트 ㅠ";"spacekay@kakao.com";"admin"
11;"2021-12-21 09:55:31.652000";"테스트 신고";"";"/review/57";"2021-12-21 09:48:32";"테스트~~";"spacekay@kakao.com";"admin"
12;"2021-12-21 09:55:31.653000";"테스트 신고";"";"/review/57";"2021-12-21 09:49:00";"ㅇㅁㅇㄴㅇㅁㄴㅇㄴ";"spacekay@kakao.com";"admin"
13;"2021-12-21 09:55:31.654000";"테스트 신고";"";"/review/57";"2021-12-21 09:49:22";"ㄴㅇㅁㄴㅇㅇㅁㄴ";"spacekay@kakao.com";"admin"
14;"2021-12-21 09:55:31.656000";"테스트 신고";"";"/review/72";"2021-12-21 09:50:21";"ㄴㅁㅁㅇㅁㄴㅇ";"youngboy@123456.com";"admin"
15;"2021-12-21 09:55:31.657000";"테스트 신고";"";"/review/76";"2021-12-21 09:51:00";"ㅈㅂㅈㄷㅈ";"spacekay@kakao.com";"admin"
16;"2021-12-21 09:55:31.658000";"테스트 신고";"";"/review/73";"2021-12-21 09:52:34";"dfdfsdfsd";"youngboy@123456.com";"admin"
17;"2021-12-21 09:55:31.660000";"테스트 신고";"";"/review/77";"2021-12-21 09:53:00";"dadsad";"old@love.com";"admin"
18;"2021-12-21 09:55:31.661000";"테스트 신고";"";"/review/76";"2021-12-21 09:53:13";"dasdsad";"spacekay@kakao.com";"admin"
19;"2021-12-21 09:55:31.662000";"테스트 신고";"";"/review/79";"2021-12-21 09:53:30";"dsdsad";"different@love.com";"admin"
20;"2021-12-21 09:55:31.664000";"테스트 신고";"";"/review/72";"2021-12-21 09:54:11";"sasd";"youngboy@123456.com";"admin"
21;"2021-12-21 10:27:53.031000";"";"";"/review/77";"2021-12-21 10:27:53";"비밀~";"old@love.com";"admin"
22;"2021-12-21 10:30:52.095000";"";"b154";"/board/65";"2021-12-21 10:30:52";"여행 게시판 댓글 신고";"different@love.com";"admin"
23;"2021-12-21 10:33:03.665000";"";"";"/board/64";"2021-12-21 10:33:03";"비밀";"youngboy@123456.com";"hello@hello.com"
24;"2021-12-21 10:33:31.197000";"";"b154";"/board/65";"2021-12-21 10:33:31";"여행 게시판 댓글 신고";"different@love.com";"hello@hello.com"
25;"2021-12-21 11:49:32.426000";"";"b149";"/board/54";"2021-12-21 11:49:32";"여행 게시판 댓글 신고";"spacekay@kakao.com";"hello@hello.com"
26;"2021-12-21 11:57:08.159000";"";"r13";"/review/66";"2021-12-21 11:57:08";"후기 게시판 댓글 신고";"kskyo1775@gmail.com";"hello@hello.com"
27;"2021-12-21 15:24:18.020000";"";"b157";"/board/55";"2021-12-21 15:24:18";"여행 게시판 댓글 신고";"hello@hello.com";"anonymousUser"
28;"2021-12-22 11:36:56.932000";"";"r16";"/review/66";"2021-12-22 11:36:57";"후기 게시판 댓글 신고";"anonymousUser";"ppp@gmail.com"
29;"2021-12-22 15:33:31.825000";"";"";"/review/84";"2021-12-22 15:33:32";"";"boy@boy.com";"spacekay@kakao.com"
30;"2021-12-28 16:37:02.930000";"잘못 신고";"";"/review/92";"2021-12-28 16:23:11";"실수입니다";"hello@hello.com";"spacekay@kakao.com"
31;"2021-12-28 16:37:02.929000";"잘못 신고";"";"/board/82";"2021-12-28 16:28:07";"실수입니다";"kskyo1775@naver.com";"spacekay@kakao.com"
32;"2021-12-28 16:28:31.686000";"";"b222";"/board/82";"2021-12-28 16:28:32";"여행 게시판 댓글 신고";"kskyo1775@gmail.com";"spacekay@kakao.com"
