"review_id";"nickname";"review_content";"review_date";"review_level";"review_recom";"review_title";"review_view";"thumb_nail";"user_email";"user_image";"age"
2;"비회원";"내용내용내용";"2021-11-18 15:17:50";0;0;"제목";1;"";"anonymousUser";"";0
3;"비회원";"글을 씁니다 글글";"2021-11-19 13:48:39";0;0;"글을 써보자 후기로";3;"";"anonymousUser";"";0
4;"비회원";"글을 씁니다 글글";"2021-11-19 13:51:20";0;0;"글을 써보자 후기로 재도전!";3;"";"anonymousUser";"";0
5;"";"안뇽";"2021-11-30 12:04:41";0;0;"안뇽";0;"";"";"";0
6;"비트래블";"dddddddddddddddddddddddddd";"2021-12-06 15:51:30";0;0;"hello";0;"";"admin";"";0
7;"비트래블";"들어가나요";"2021-12-06 18:42:20";0;0;"들어갑니까?";0;"";"admin";"";0
9;"비트래블";"안녕하세요 후기 입니다~";"2021-12-07 09:34:32";0;0;"안녕";0;"";"admin";"";0
10;"비트래블";"ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ";"2021-12-07 09:44:03";0;0;"ㅇㅇㅇㅇㅇㅇㅇㅇ";2;"";"admin";"";0
36;"비회원";"dddddddddddddddddddddddd";"2021-12-13 15:56:33";0;0;"dddddddddddd";2;"";"anonymousUser";"";0
40;"비회원";"last";"2021-12-13 16:16:31";0;0;"Hello last";1;"";"anonymousUser";"";0
45;"비회원";"강댕이~";"2021-12-14 15:54:07";0;0;"미륵불~";2;"";"anonymousUser";"";0
46;"비트래블";"ddddddd";"2021-12-16 12:22:34";0;0;"불국사 여행";2;"/image/1";"admin";"";0
47;"비트래블";"ㅇㅇㅇ";"2021-12-16 12:24:47";0;0;"월정리";9;"/image/2";"admin";"";0
48;"비회원";"행복합니다!!";"2021-12-16 12:51:48";0;0;"나의 고향 문경은 좋은 곳이죠~";13;"/image/4";"anonymousUser";"";0
49;"비트래블";"가자~";"2021-12-16 13:14:53";0;0;"남산과 불국사~";16;"";"admin";"";0
50;"케이입니다";"테스트해봅니다.";"2021-12-16 13:58:31";0;0;"안녕하세요~ 반갑습니다";23;"/image/5";"spacekay@kakao.com";"";0
51;"헬로준";"<p>가자가자~</p><p><img src=""/image/72"" style=""width: 50%;""><br></p>";"2021-12-16 14:38:22";0;0;"제주도는 해수욕장이지~";36;"/image/72";"hello@hello.com";"/image/3";0
52;"비트래블";"짱잼 굿잼 졸잼 킹왕짱 잼잼잼";"2021-12-16 15:51:56";0;0;"부산 해운대 축제합니다~";33;"/image/9";"admin";"";0
53;"케이입니다";"이것은 매우 긴 후기 이것은 매우 긴 후기 이것은 매우매우매우 긴 후기 이것은 매우매우길어서 100자는 넘어야 함 얼마나 써야 넘을지 확인이 필요함계속확인해보도록 함 계속계속 계속";"2021-12-16 16:19:37";0;0;"매우 긴 후기 작성해보기";9;"";"spacekay@kakao.com";"";0
